a,b,reltype
Q461374,Q16181706,spouse
Q463949,Q10665,child
Q463949,Q271067,child
Q463949,Q41117,spouse
Q463949,Q840719,child
Q464372,Q484328,spouse
Q464503,Q257425,spouse
Q464569,Q5356443,spouse
Q464574,Q318485,spouse
Q464574,Q490905,sibling
Q464623,Q233911,sibling
Q465248,Q6411575,spouse
Q465263,Q483798,spouse
Q465489,Q94489565,child
Q466457,Q624392,father
Q466457,Q624392,mother
Q466477,Q12589492,sibling
Q466477,Q27951979,child
Q468467,Q12615582,child
Q468467,Q12615583,child
Q468467,Q12615586,child
Q468467,Q16175491,child
Q468467,Q488446,child
Q468467,Q490114,child
Q468467,Q56435719,child
Q468467,Q624651,child
Q468490,Q496356,spouse
Q469387,Q12583935,spouse
Q469387,Q24859999,child
Q469387,Q334312,father
Q469387,Q485587,sibling
Q469387,Q493659,sibling
Q469387,Q493692,child
Q469387,Q6793625,child
Q469387,Q699503,sibling
Q469387,Q699513,sibling
Q469396,Q16177272,child
Q469432,Q134411914,child
Q469432,Q257425,child
Q470047,Q122394708,spouse
Q470047,Q12612345,spouse
Q470047,Q16097635,child
Q470047,Q3565110,sibling
Q470047,Q496634,father
Q471695,Q6682314,spouse
Q4749844,Q402165,father
Q4749844,Q456828,mother
Q475420,Q16179378,spouse
Q47667470,Q484859,spouse
Q482413,Q12616661,father
Q482615,Q116763964,spouse
Q482615,Q122928283,father
Q482738,Q130376187,child
Q482738,Q130376188,child
Q482738,Q14345,spouse
Q482738,Q16168020,mother
Q482738,Q16181683,mother
Q482783,Q129471,sibling
Q482815,Q16080135,spouse
Q482817,Q32059867,spouse
Q482826,Q482957,spouse
Q482867,Q123156764,father
Q482867,Q130212655,sibling
Q482887,Q27952219,child
Q482889,Q192111,father
Q482900,Q12610476,father
Q482900,Q192111,child
Q482900,Q493891,child
Q482900,Q496310,child
Q482917,Q487728,father
Q482917,Q491750,sibling
Q482957,Q482826,spouse
Q482991,Q12593614,sibling
Q482991,Q484366,spouse
Q483010,Q257425,sibling
Q483010,Q486273,child
Q483105,Q484157,sibling
Q483117,Q6811459,spouse
Q483216,Q16068586,spouse
Q483218,Q12615755,sibling
Q483255,Q14304,father
Q483255,Q6853912,father
Q483344,Q12607850,spouse
Q483344,Q12609551,spouse
Q483362,Q134411657,child
Q483467,Q14304,sibling
Q483467,Q16180284,sibling
Q483467,Q3382230,sibling
Q483467,Q378483,father
Q483467,Q485556,sibling
Q483467,Q488670,sibling
Q483467,Q488700,sibling
Q483467,Q498707,sibling
Q483467,Q626461,sibling
Q483467,Q6743293,father
Q483467,Q6743293,mother
Q483517,Q18013379,child
Q483517,Q6747264,child
Q483571,Q16090786,spouse
Q483621,Q6822380,spouse
Q483661,Q489475,spouse
Q483683,Q126207848,mother
Q483773,Q491397,spouse
Q483798,Q465263,spouse
Q483842,Q626819,grandmother
Q483892,Q94187,spouse
Q483926,Q625732,sibling
Q483927,Q6818945,spouse
Q483953,Q489952,spouse
Q483957,Q55734183,sibling
Q484002,Q12612144,child
Q484024,Q127813637,father
Q484024,Q127819773,sibling
Q484027,Q13553537,sibling
Q484157,Q483105,sibling
Q484197,Q497693,spouse
Q484328,Q464372,spouse
Q484366,Q482991,spouse
Q484380,Q12595851,sibling
Q484380,Q12596927,father
Q484380,Q626438,father
